Genus,Species,Phylum,Class,Order,Family,Realm,Realm_detail,Realm_source,thermy,demers_pelag,demers_pelag_fb,demers_pelag_source,mobility,mobility_source,weight,weight_source,length,lengthType,length_source,fishbase_sci
Rana,pipiens,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,39.2,AmphiBIO,16.5,body length,AmphiBIO,Lithobates pipiens
Rana,pretiosa,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,10,body length,AmphiBIO,NA
Rana,virgatipes,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,6.7,body length,AmphiBIO,Lithobates virgatipes
Rana,warszewitschii,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,8,body length,AmphiBIO,Lithobates warszewitschii
Philautus,surdus,Chordata,Amphibia,Anura,Rhacophoridae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,3.84,body length,AmphiBIO,NA
Coptotermes,formosanus,Arthropoda,Insecta,Isoptera,Rhinotermitidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Reticulitermes,flavipes,Arthropoda,Insecta,Isoptera,Rhinotermitidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Taeniopoda,eques,Arthropoda,Insecta,Orthoptera,Romaleidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Notophthalmus,viridescens,Chordata,Amphibia,Caudata,Salamandridae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.9,AmphiBIO,14,body length,AmphiBIO,NA
Taricha,torosa,Chordata,Amphibia,Caudata,Salamandridae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,19.7,body length,AmphiBIO,NA
Euophrys,frontalis,Arthropoda,Arachnida,Araneae,Salticidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000511,mean from Brose et al. dataset,NA,NA,NA,NA
Sarcophaga,sp.1,Arthropoda,Insecta,Diptera,Sarcophagidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.009,mean from Brose et al. dataset,NA,NA,NA,NA
Acontias,meleagris,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,29.76,Slavenko et al. 2016 database,NA,NA,NA,NA
Anomalopus,brevicollis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.61,Slavenko et al. 2016 database,NA,NA,NA,NA
Anomalopus,leuckartii,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.88,Slavenko et al. 2016 database,NA,NA,NA,NA
Bassiana,duperreyi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.47,Slavenko et al. 2016 database,NA,NA,NA,NA
Bassiana,platynota,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.47,Slavenko et al. 2016 database,NA,NA,NA,NA
Calyptotis,temporalis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.52,Slavenko et al. 2016 database,NA,NA,NA,NA
Carlia,foliorum,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.41,Slavenko et al. 2016 database,NA,NA,NA,Lygisaurus foliorum
Carlia,longipes,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.79,Slavenko et al. 2016 database,NA,NA,NA,NA
Carlia,munda,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.52,Slavenko et al. 2016 database,5,body length,Brose et al. dataset,NA
Carlia,pectoralis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.1,Slavenko et al. 2016 database,8,body length,Brose et al. dataset,NA
Carlia,rhomboidalis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.36,Slavenko et al. 2016 database,NA,NA,NA,NA
Carlia,schmeltzi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.5,Slavenko et al. 2016 database,NA,NA,NA,NA
Carlia,vivax,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.3,Slavenko et al. 2016 database,NA,NA,NA,NA
Cryptoblepharus,litoralis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.12,Slavenko et al. 2016 database,NA,NA,NA,NA
Cryptoblepharus,plagiocephalus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.88,Slavenko et al. 2016 database,6,body length,Brose et al. dataset,NA
Cryptoblepharus,virgatus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.21,Slavenko et al. 2016 database,5,body length,Brose et al. dataset,NA
Ctenotus,essingtoni,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.79,Slavenko et al. 2016 database,NA,NA,NA,NA
Ctenotus,pantherinus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,45.4,Slavenko et al. 2016 database,NA,NA,NA,NA
Ctenotus,regius,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.8,Slavenko et al. 2016 database,NA,NA,NA,NA
Ctenotus,spaldingi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,25.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Ctenotus,taeniolatus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.78,Slavenko et al. 2016 database,10,body length,Brose et al. dataset,NA
Ctenotus,uber,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.34,Slavenko et al. 2016 database,NA,NA,NA,NA
Cyclodomorphus,branchialis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,38.77,Slavenko et al. 2016 database,NA,NA,NA,NA
Cyclodomorphus,melanops,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,52.76,Slavenko et al. 2016 database,NA,NA,NA,NA
Egernia,cunninghami,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,414.9,Slavenko et al. 2016 database,NA,NA,NA,NA
Egernia,inornata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.74,Slavenko et al. 2016 database,NA,NA,NA,Liopholis inornata
Egernia,saxatilis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,56.73,Slavenko et al. 2016 database,NA,NA,NA,NA
Egernia,striolata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,37.75,Slavenko et al. 2016 database,NA,NA,NA,NA
Egernia,whitii,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,31.94,Slavenko et al. 2016 database,NA,NA,NA,Liopholis whitii
Eremiascincus,fasciolatus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,42.45,Slavenko et al. 2016 database,NA,NA,NA,NA
Eremiascincus,richardsoni,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,46.58,Slavenko et al. 2016 database,NA,NA,NA,NA
Eulamprus,heatwolei,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,21.53,Slavenko et al. 2016 database,NA,NA,NA,NA
Eulamprus,kosciuskoi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.74,Slavenko et al. 2016 database,NA,NA,NA,NA
Eulamprus,murrayi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,27.6,Slavenko et al. 2016 database,NA,NA,NA,Silvascinus murrayi
Eulamprus,quoyii,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,46.58,Slavenko et al. 2016 database,NA,NA,NA,NA
Eulamprus,tenuis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.74,Slavenko et al. 2016 database,NA,NA,NA,Concinnia tenuis
Eulamprus,tympanum,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,21.6,Slavenko et al. 2016 database,NA,NA,NA,NA
Glaphyromorphus,punctulatus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.8,Slavenko et al. 2016 database,NA,NA,NA,NA
Hemiergis,decresiensis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.05,Slavenko et al. 2016 database,NA,NA,NA,NA
Hemiergis,peroni,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.05,Slavenko et al. 2016 database,NA,NA,NA,Hemiergis peronii
Hemiergis,quadrilineatum,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.68,Slavenko et al. 2016 database,NA,NA,NA,Hemiergis quadrilineata
Lampropholis,delicata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.12,Slavenko et al. 2016 database,NA,NA,NA,NA
Lampropholis,guichenoti,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.61,Slavenko et al. 2016 database,NA,NA,NA,NA
Lerista,bougainvilli,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.14,Slavenko et al. 2016 database,NA,NA,NA,NA
Lerista,frosti,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.1,Slavenko et al. 2016 database,NA,NA,NA,NA
Lerista,neander,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.98,Slavenko et al. 2016 database,NA,NA,NA,NA
Lerista,orientalis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Lerista,terdigitata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.26,Slavenko et al. 2016 database,NA,NA,NA,NA
Lipinia,pulchella,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.3,Slavenko et al. 2016 database,NA,NA,NA,NA
Morethia,butleri,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.51,Slavenko et al. 2016 database,NA,NA,NA,NA
Morethia,lineoocellata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.51,Slavenko et al. 2016 database,NA,NA,NA,NA
Morethia,obscura,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.31,Slavenko et al. 2016 database,NA,NA,NA,NA
Morethia,taeniopleura,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.52,Slavenko et al. 2016 database,5,body length,Brose et al. dataset,NA
Nannoscincus,maccoyi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.92,Slavenko et al. 2016 database,NA,NA,NA,Anepischetosia maccoyi
Niveoscincus,coventryi,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Niveoscincus,metallicus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.12,Slavenko et al. 2016 database,NA,NA,NA,NA
Niveoscincus,ocellatus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.74,Slavenko et al. 2016 database,NA,NA,NA,NA
Parvoscincus,decipiens,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.63,Slavenko et al. 2016 database,NA,NA,NA,NA
Pinoyscincus,abdictus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,20.17,Slavenko et al. 2016 database,NA,NA,NA,NA
Pinoyscincus,jagori,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,29.54,Slavenko et al. 2016 database,NA,NA,NA,NA
Plestiodon,chinensis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,55.39,Slavenko et al. 2016 database,NA,NA,NA,NA
Plestiodon,elegans,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,25.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Plestiodon,gilberti,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,35.74,Slavenko et al. 2016 database,NA,NA,NA,NA
Plestiodon,obsoletus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,68.33,Slavenko et al. 2016 database,NA,NA,NA,NA
Plestiodon,skiltonianus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,13.23,Slavenko et al. 2016 database,NA,NA,NA,NA
Pseudemoia,entrecasteauxii,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.36,Slavenko et al. 2016 database,NA,NA,NA,NA
Pseudemoia,spenceri,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.36,Slavenko et al. 2016 database,NA,NA,NA,NA
Saiphos,equalis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.44,Slavenko et al. 2016 database,NA,NA,NA,NA
Saproscincus,basiliscus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.27,Slavenko et al. 2016 database,NA,NA,NA,NA
Saproscincus,mustelina,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.1,Slavenko et al. 2016 database,NA,NA,NA,NA
Saproscincus,tetradactyla,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.35,Slavenko et al. 2016 database,NA,NA,NA,NA
Scelotes,gronovii,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.26,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphenomorphus,incognitus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,29.03,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphenomorphus,indicus,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,24.97,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphenomorphus,taiwanensis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.41,Slavenko et al. 2016 database,NA,NA,NA,NA
Tiliqua,nigrolutea,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1445.85,Slavenko et al. 2016 database,NA,NA,NA,NA
Tiliqua,rugosa,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1229.69,Slavenko et al. 2016 database,NA,NA,NA,NA
Tiliqua,scincoides,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1603.69,Slavenko et al. 2016 database,5,body length,Brose et al. dataset,NA
Trachylepis,capensis,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,56.73,Slavenko et al. 2016 database,NA,NA,NA,NA
Trachylepis,striata,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,31.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Tropidophorus,queenslandiae,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.74,Slavenko et al. 2016 database,NA,NA,NA,NA
Typhlacontias,brevipes,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.76,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,gaigeae,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.39,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,klauberi,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.25,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,macrolepis,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.06,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,nicholsi,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.39,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,roosevelti,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.47,Slavenko et al. 2016 database,NA,NA,NA,NA
Sphaerodactylus,townsendi,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.67,Slavenko et al. 2016 database,NA,NA,NA,NA
Halmaeusa,atriceps,Arthropoda,Insecta,Coleoptera,Staphylinidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.00124,mean as larvae from Brose et al. dataset,NA,NA,NA,NA
Succinea,strigata,Mollusca,Gastropoda,Stylommatophora,Succineidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ameiva,festiva,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,92.36,Slavenko et al. 2016 database,NA,NA,NA,Holcosus festivus
Ameiva,quadrilineata,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,19.97,Slavenko et al. 2016 database,NA,NA,NA,Holcosus quadrilineatus
Cnemidophorus,sexlineatus,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,22.16,Slavenko et al. 2016 database,NA,NA,NA,Apsidoscelis sexlineata
Cnemidophorus,tigris,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,79.1,Slavenko et al. 2016 database,NA,NA,NA,Apsidoscelis tigris
Gonocephalum,simplex,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Onymacris,bicolor,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Onymacris,marginipennis,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Onymacris,plana,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Onymacris,rugatipennis,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Onymacris,unguicularis,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Physadesmia,globosa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Testudo,hermanni,Chordata,Archelosauria,Testudines,Testudinidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7363.23,Slavenko et al. 2016 database,NA,NA,NA,NA
Conocephalus,saltator,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0095,mean from Brose et al. dataset,NA,NA,NA,NA
Crustulina,guttata,Arthropoda,Arachnida,Araneae,Theridiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0002,mean from Brose et al. dataset,NA,NA,NA,NA
Dipoena,inornata,Arthropoda,Arachnida,Araneae,Theridiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0002,mean from Brose et al. dataset,NA,NA,NA,NA
Misumenoides,formosipes,Arthropoda,Arachnida,Araneae,Thomisidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000843,mean from Brose et al. dataset,NA,NA,NA,NA
Misumenops,asperatus,Arthropoda,Arachnida,Araneae,Thomisidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000843,mean from Brose et al. dataset,NA,NA,NA,NA
Tibellus,oblongus,Arthropoda,Arachnida,Araneae,Thomisidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000843,mean from Brose et al. dataset,NA,NA,NA,NA
Varanus,gouldii,Chordata,Lepidosauria,Squamata,Varanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6939.88,Slavenko et al. 2016 database,160,body length,Brose et al. dataset,NA
Varanus,varius,Chordata,Lepidosauria,Squamata,Varanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10657.24,Slavenko et al. 2016 database,NA,NA,NA,NA
Agkistrodon,contortrix,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1248.16,Slavenko et al. 2016 database,NA,NA,NA,NA
Crotalus,atrox,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6163.07,Slavenko et al. 2016 database,NA,NA,NA,NA
Crotalus,cerastes,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,313.8,Slavenko et al. 2016 database,NA,NA,NA,NA
Crotalus,scutulatus,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1387.5,Slavenko et al. 2016 database,NA,NA,NA,NA
Crotalus,viridis,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2238.09,Slavenko et al. 2016 database,NA,NA,NA,NA
Protobothrops,mucrosquamatus,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1069.01,Slavenko et al. 2016 database,NA,NA,NA,NA
Trimeresurus,gracilis,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,61.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Trimeresurus,stejnegeri,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,592.42,Slavenko et al. 2016 database,NA,NA,NA,NA
Lepidophyma,flavimaculatum,Chordata,Lepidosauria,Squamata,Xantusiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,72.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Xantusia,henshawi,Chordata,Lepidosauria,Squamata,Xantusiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.02,Slavenko et al. 2016 database,NA,NA,NA,NA
Xantusia,riversiana,Chordata,Lepidosauria,Squamata,Xantusiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,32.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Xantusia,vigilis,Chordata,Lepidosauria,Squamata,Xantusiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.73,Slavenko et al. 2016 database,NA,NA,NA,NA
Zora,spinimana,Arthropoda,Arachnida,Araneae,Zoridae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Phronima,sedentaria,Arthropoda,Malacostraca,Amphipoda,Phronimidae ,Marine,marine,sealifebase,ectotherm,pelagic,pelagic-oceanic,sealifebase,swim,Elder_and_Siebel_2015,NA,NA,2.5,NA,Pollock 1998 A Practical Guide to the Marine Animals of Northeastern North America. Rutgers University Press,Phronima sedentaria
